gestational_days,weight_median,weight_variation,height_median,height_variation,hc_median,hc_variation
168,0.62,0.07,33.0,1.1,23.5,0.8
175,0.74,0.08,34.5,1.2,24.2,0.9
182,0.88,0.10,36.0,1.3,24.9,1.0
189,1.04,0.12,37.5,1.4,25.6,1.1
196,1.22,0.14,39.0,1.5,26.3,1.2
203,1.43,0.16,40.5,1.6,27.0,1.3
210,1.68,0.19,42.0,1.7,27.7,1.4
217,1.97,0.22,43.5,1.8,28.4,1.5
224,2.30,0.26,45.0,1.9,29.1,1.6
231,2.68,0.30,46.5,2.0,29.8,1.7
238,3.10,0.35,48.0,2.1,30.5,1.8
245,3.57,0.40,49.5,2.2,31.2,1.9
252,4.09,0.46,51.0,2.3,31.9,2.0
259,4.66,0.52,52.5,2.4,32.6,2.1
266,5.28,0.58,54.0,2.5,33.3,2.2
273,5.95,0.64,55.5,2.6,34.0,2.3
280,6.67,0.70,57.0,2.7,34.7,2.4
287,7.44,0.76,58.5,2.8,35.4,2.5
294,8.26,0.82,60.0,2.9,36.1,2.6
